,pred:ACCESS_BENEFIT,pred:ACCOUNTABILITY,pred:ACCURACY,pred:EMPATHY,pred:PRIVACY,pred:SAFETY
manual:ACCESS_BENEFIT,1,0,0,0,0,0
manual:ACCOUNTABILITY,0,1,0,0,0,0
manual:ACCURACY,0,0,1,0,0,0
manual:EMPATHY,0,0,0,1,0,0
manual:PRIVACY,0,0,0,0,2,0
manual:SAFETY,0,0,0,0,0,2
